month,iss_mean_z,iss_max_z,sarima_resid_z,rho_peak_baseline
2024-01-01,0.1659127198607815,1.3301431532875054,0.0414502574810503,0.5198687182047066
2024-02-01,1.3344905117792942,2.376911716139325,1.006267381601004,0.5511518254819546
2024-03-01,0.628052679658225,1.823901909349685,1.0471073628417895,0.5725661002498771
2024-04-01,2.889913769483956,3.379371670257144,-0.710446205921452,0.5856642456199511
2024-05-01,0.3973657815375411,1.7384978858078035,0.1505547290256402,0.5979498640276217
2024-06-01,-0.3416979495442624,0.2774163784572369,-0.3616144470425739,0.6112474560960589
2024-07-01,-0.2602464127610347,0.8155063820550502,-0.5524366586933399,0.6149781672962883
2024-08-01,0.5818138011416363,0.8411450349370713,-0.6468529368642715,0.6374505346982087
2024-09-01,-0.4333032220211545,-0.0128806632016219,-0.2272611194785853,0.6621633935799635
2024-10-01,-0.5942325865919735,-0.543342220692059,2.1191485423632934,0.7065469937247921
2024-11-01,0.2895596289046422,1.151723454807862,-2.311901489657578,0.6815448270761624
2024-12-01,0.439062644990876,2.2985928500742485,0.3280762347633857,0.7127259362233219
2025-01-01,0.4282089934989644,1.6357685314013708,0.2435787879855377,0.7240575476076572
2025-02-01,-0.4593856349213235,0.3224825673462013,-2.5620891570494235,0.7596662689830215
2025-03-01,-0.0592082763793073,1.9300337698545271,1.4973640420672596,0.779674420341081
2025-04-01,-0.1414303897069478,1.194370673721636,-0.4810802274327951,0.7876987524690672
2025-05-01,-0.2043794769240484,1.9809643422695224,-0.1723564251634993,0.7956905085396629
2025-06-01,-0.3065915067866392,0.8753098256539751,-0.7404147345437647,0.8097795965587358
2025-07-01,0.029792991681720997,0.8753098256539751,1.165374008432486,0.8293666823928272
2025-08-01,-0.41347164061889863,0.5401291435880188,0.4015896582709067,0.8523869069412664
2025-09-01,-0.4727911024116807,0.6548844032241821,-1.47028706474651,0.8642969492522256
2025-10-01,-0.5004043176615381,0.21348654554444718,-2.213686571449148,0.8818932318440987
2025-11-01,-0.6245561007763563,-0.1981545560408834,1.2565454493390915,0.9009912366003452
2025-12-01,0.10111036584371061,0.911510957788064,0.3468256749085462,0.9216725172688252
